nome,price,old_price,average_year,var_year,std_year,average_six_months,var_six_months,std_six_months,average_three_months,var_three_months,std_three_months,status
"Smartphone Nokia C2 2nd Edition 4G 32 GB Tela 57"" Cinza Câmera Com IA Android NK085",341.05,399.9,534.27,11161,106,491.98,9296.04,96.42,420.1,4815.65,69.39,APPROVED
Faqueiro Brinox Inox 92 Peças Milano - 5123/430,281.2,399.9,311.6,2657,52,311.6,2656.96,51.55,311.6,2656.96,51.55,APPROVED
Jogo de Taças de Vidro 330ml 6 Peças Haus Bico de Jaca Empire - 57725/401,58.1,129.9,57.47,12,3,57.47,11.75,3.43,57.47,11.75,3.43,APPROVED
Notebook Acer Aspire 3 A315-24P-R31Z AMD Ryzen 5 Windows 11 Home 8GB LPDDR5 512GB SSD 15.6 HD,2429.1,3999,2645.67,87644,296,2645.67,87644.29,296.05,2644.51,89486.19,299.14,APPROVED
Perfume Nomade Chloé Feminino EDP 30ml,253.9,271.9,406.85,2303,48,440.61,562.43,23.72,440.61,562.43,23.72,APPROVED
Micro-ondas Electrolux Prata 23L Efficient ME23S,584.72,687.9,620.24,826,29,619.57,557.47,23.61,615.41,429.44,20.72,APPROVED
Parafusadeira Nell a Bateria 3.6V 1/4” - 250RPM + 12 Peças  - M206010,59.9,99.9,65.21,78,9,65.21,78.22,8.84,65.21,78.22,8.84,APPROVED
Conjunto de Frigideiras Antiaderente Tramontina de Alumínio Caribe Preto 3 Peças,77.5,129.9,45.73,10,3,44.83,7.64,2.76,44.75,11.09,3.33,APPROVED
Aspirador de Pó Electrolux 2 em 1 Ergorapido - ERG26,939.06,999,1209.62,27581,166,1130.53,26459.25,162.66,1019.14,7618.25,87.28,APPROVED
Fritadeira Air Fry Britânia 12 Litros Oven Preta e Inox BFR2300P 220v,727.4,899.9,627.14,3622,60,596.4,2193.33,46.83,582.39,987.81,31.43,APPROVED
Cafeteira Dupla Multilaser BE010 2 Xícaras 500W,78.87,124.9,114.5,82,9,111.64,102.85,10.14,107.03,121.07,11.0,APPROVED
Cafeteira Cadence Single CAF218 - 2 Xícaras 220V,93.42,159.9,102.83,145,12,100.2,108.01,10.39,93.75,99.47,9.97,APPROVED
Fritadeira Air Fryer Dual Philco PFR3000PI Duplo Cesto 8L,584.91,999.9,712.58,11589,108,653.68,3655.58,60.46,639.37,4710.48,68.63,APPROVED
Robô Aspirador de Pó KaBuM! Smart 100 Branco Recarregamento automático Aspira e Passa Pano Controle via Aplicativo,499.9,666.56,603.73,5467,74,577.11,2383.82,48.82,561.38,3081.4,55.51,APPROVED
Sanduicheira Grill Mondial Antiaderente 750W Inox - S-20,97.1,102.21,106.91,65,8,104.18,53.79,7.33,99.03,41.4,6.43,APPROVED
"Smartphone Samsung Galaxy A14 128GB 4GB 5G Tela Infinita de 6.6""",989.1,1999,1061.24,25074,158,933.6,3600.93,60.01,893.3,2092.05,45.74,APPROVED
Jogo de Toalhas de Banho Atlântica Delicata Garden - 4 Peças,53.8,69.9,55.3,34,6,52.53,30.68,5.54,53.87,36.02,6.0,APPROVED
