nome,url_image,price,old_price,average_year,var_year,std_year,average_six_months,var_six_months,std_six_months,average_three_months,var_three_months,std_three_months,status
Ar Condicionado Split Samsung Inverter WindFree POWERvolt Bivolt Connect AI 12.000 BTUs Frio Sem Vento - AR12DYFAVWKNAZ,/static/p/377828330917526044261822541533.jpg,2471.69,3858.48,3107.96,148450,385,3105.42,148156.68,384.91,2837.21,51421.26,226.76,APPROVED
Cafeteira Elétrica Electrolux Inox 30 Xícaras Efficient - ECM20,/static/p/206600599117525855899211373500.jpg,119.9,178.9,129.08,85,9,129.04,113.75,10.67,122.59,123.41,11.11,APPROVED
Creme Hidratante Nivea Lata - 56g,/static/p/401260653616980186112571597947.jpg,16.06,16.9,18.45,4,2,18.62,1.24,1.11,18.39,2.12,1.46,APPROVED
Perfume Giorgio Armani Acqua Di Giò Masculino Eau de Toilette,/963732483917525327492149652510.png,431.39,521.52,607.64,2550,51,619.09,2199.45,46.9,636.95,549.57,23.44,APPROVED
Tênis Under Armour Charged Great,/static/p/578257430617524995234439362224.jpg,169.99,199.99,201.28,449,21,201.28,449.29,21.2,198.34,714.12,26.72,APPROVED
Controle para PS5 sem Fio DualSense Sony,/static/p/827916100517524344761398601436.jpg,379.91,599,370.56,581,24,376.79,574.12,23.96,373.69,996.92,31.57,APPROVED
The Golden Secret Banderas - Perfume Masculino - Eau de toilette,/static/p/629247429517524333036891493662.jpg,196.98,319,168.9,273,17,158.25,12.12,3.48,159.0,0.0,0.0,APPROVED
Panela de Pressão Brinox 42L Preta Fechamento Externo Ceramic Life Pressure,/static/p/115373820517524325613348792399.jpg,199.41,272.69,199.38,1042,32,199.35,496.84,22.29,194.37,195.37,13.98,APPROVED
Forno Elétrico de Embutir Função Air Fryer,/static/p/894258499117524299897157070373.jpg,2469.05,3299.99,2459.54,173949,417,2738.89,202354.28,449.84,2730.95,147126.19,383.57,APPROVED
Varal Trevisan Retrátil Recolhível De Parede Seca Fácil - 30m,/static/p/817070966617524210656323697546.jpg,38.68,82.98,40.72,13,4,40.28,21.01,4.58,40.24,18.33,4.28,APPROVED
Armário de Cozinha Completa 260cm Reims Madesa 09,/static/p/917602777717524209245666087501.jpg,1124.99,1299.99,1216.33,3480,59,1192.79,3358.16,57.95,1150.71,1759.03,41.94,APPROVED
Whey Protein Isolado Profit 900g - Varios Sabores,/static/p/438617973217524196523589108112.jpg,56.1,69.9,59.12,16,4,57.1,9.94,3.15,55.53,5.64,2.37,APPROVED
Tênis Asics Gel Trabuco Terra Feminino,/static/p/742929927417523744535053234170.jpg,305.99,749.9,799.9,0,0,799.9,0.0,0.0,799.9,0.0,0.0,APPROVED
Shampoo Pantene Liso Extremo 350ml e Condicionador 175ml,/static/p/543195788517523426602577597108.jpg,23.9,36.64,52.24,20,4,55.53,0.13,0.36,55.58,0.08,0.28,APPROVED
Notebook Acer Aspire 5 Intel Core i5 12450H 8GB RAM 512GB SSD 156 Full HD Windows 11 A515-57-565J - Notebook Acer,/static/p/761982043617523422427522219470.jpg,2969.1,4299,3065.1,25333,159,3164.42,18843.0,137.27,3125.8,26739.28,163.52,APPROVED
Aspirador de Pó Gaabor Vertical 2 em 1 Portatil 220V 650W 15L - GVCW-M15A-B,/static/p/613550029317523210905702086122.jpg,106,198,198.4,35,6,198.0,0.0,0.0,198.0,0.0,0.0,APPROVED
Bicicleta Ergométrica Vertical Gallant Flow GBE1HBTBPT,/static/p/119676170417522898101498543941.jpg,416.88,579,414.0,255,16,414.21,14.08,3.75,413.83,27.06,5.2,APPROVED
Pelúcia Stitch Disney  20cm,/139617303717522756687599456009.png,22.92,52.81,80.49,54,7,80.49,53.97,7.35,79.03,45.48,6.74,APPROVED
Perfume Yves Saint Laurent Kouros EDT Masculino - 100ml,/978625961815620099219235311625.png,310.36,447.99,375.1,1632,40,375.1,1631.76,40.4,400.08,553.18,23.52,APPROVED
Aparador Cantinho do Café com Espelho 2 Portas Multimóveis Preto,/static/p/966429018517521816592168309143.jpg,239.99,389.9,212.58,291,17,222.11,213.65,14.62,231.47,195.16,13.97,APPROVED
Tênis de Treino Masculino Under Armour Tribase Reps,/static/p/465154923417521798261578433977.jpg,280.49,449.99,341.01,1866,43,316.67,287.18,16.95,309.23,61.38,7.83,APPROVED
Balcão Armário Multiuso Multimóveis para Forno e Microondas Branco,/static/p/426981079517521723285670991575.jpg,189.99,299.9,205.07,401,20,205.07,401.43,20.04,215.58,387.91,19.7,APPROVED
Tênis Mizuno Goya - Masculino,/static/p/829324143717521709941689713007.jpg,177,329.99,282.46,532,23,282.46,531.9,23.06,269.26,652.74,25.55,APPROVED
Tênis Olympikus Venum,/static/p/747730457017521705819718955041.jpg,104,229.99,149.07,193,14,149.07,193.29,13.9,148.79,217.24,14.74,APPROVED
Tênis Olympikus Perfect 4 Masculino,/static/p/670663967317521705501675853523.jpg,145,279.99,213.46,410,20,203.17,35.46,5.95,201.5,19.26,4.39,APPROVED
Aspirador de Pó e Água Electrolux Acqua Power 1400W - AQP20,/static/p/271360627016905184759047067917.jpg,252.1,399,250.97,99,10,254.4,94.96,9.74,252.82,123.95,11.13,APPROVED
Whisky Johnnie Walker Red Label 1 Litro,/static/p/139634724417521084115617022842.jpg,76.4,84.89,117.36,756,27,119.65,1244.72,35.28,94.45,600.76,24.51,APPROVED
Impressora Multifuncional Epson Ecotank L5590,/static/p/373654818317521042819149304044.jpg,1574.98,2399,1639.39,8253,91,1668.7,8857.2,94.11,1616.87,5430.33,73.69,APPROVED
Roteador Cube Mesh Ac1200 Giga - RE166,/static/p/975716934717520679019887855783.jpg,105.51,119.9,172.45,1943,44,152.12,1648.57,40.6,117.55,22.62,4.76,APPROVED
Tênis Adidas Courtblock,/static/p/303022094717520657988513857900.jpg,159.99,349.99,198.15,489,22,180.72,95.76,9.79,176.21,72.71,8.53,APPROVED
Jogo de Toalhas de Banho Atlântica Delicata Garden - 4 Peças,/static/p/429768985817520036912787136029.jpg,46.94,99.9,65.3,495,22,70.42,777.13,27.88,66.48,804.23,28.36,APPROVED
Cozinha Compacta Itatiaia Nápoles 7 Portas 1 Gaveta,/static/p/285127020317519991583484357462.jpg,1293.43,1676,1287.08,2096,46,1287.08,2095.85,45.78,1309.47,1294.68,35.98,APPROVED
Tênis Mizuno Wave Titan 3 Masculino,/static/p/854709706717519956897919719255.jpg,169.99,249.99,216.11,543,23,201.29,340.11,18.44,206.7,339.12,18.42,APPROVED
Tênis Juvenil Puma Flyer Runner Mesh BDP,/static/p/655310634217519148398862101550.jpg,161.49,279.9,195.52,435,21,185.73,520.31,22.81,171.85,47.18,6.87,APPROVED
Perfume Feminino La Vie Est Belle Lancôme EDP - 30ml,/static/p/862766181317519088576918044513.jpg,371.16,0,340.63,333,18,333.8,205.67,14.34,334.48,155.9,12.49,APPROVED
Cama Box Casal (Box + Colchão) Plumatex de Mola,/262838818917518971081809336014.png,969,2094.98,1176.14,9621,98,1177.43,9848.73,99.24,1191.92,11414.35,106.84,APPROVED
